ID_sp_then,gamma_sp,keep_idx,m200b_sp_now,m200b_sp_then
2385511,1.3007649443562792,0,388380524236195.7,208411317225844.34
2377528,1.4406039006078546,1,267142252402948.72,134073795826615.31
2378830,0.5459092465972454,2,174376217085171.6,134286298353095.42
2395476,2.9797323241240132,3,153625668138734.8,36913924134014.41
2391589,0.49470997106677733,4,129769207713964.88,102413398264105.39
2390269,1.0665478201096839,5,111238037782520.19,66771969924220.67
2390182,3.263084869207575,6,81578619047603.02,17116462773353.756
2380105,1.9272913701018037,7,71197410586548.28,28308571174621.45
2394285,2.9550624823307876,8,69171757056896.9,16818309353043.3
2395540,1.3057868106885633,9,68283227979079.664,36553941373391.88
2391687,0.7987056986761583,10,63808345525661.24,43539516739473.56
2394364,2.785572537542242,11,63473083938260.4,16736628840465.87
2378940,1.526831282074145,12,56219309157505.35,27074865699413.273
2380019,2.141675792679739,13,54749589301386.66,19646238145403.8
2390429,0.6396129265302738,14,49748086242559.78,36630810282549.59
2382835,0.6925386774512476,15,45757844951016.5,32850064383857.83
2381503,0.6027444736636199,16,44769448223642.96,33551675077723.34
2378984,0.8507599139617483,17,43716661744749.7,29096098442654.074
2395634,0.9086389175583726,18,43792125298802.34,28350118403256.75
2384048,2.1979019845031496,19,43216475504888.875,15096020383357.14
2381564,2.4033989407316336,20,42387753809929.74,13419779768034.06
2385680,0.84658237267321,21,41342215065139.33,27570822387406.664
2390335,0.5521890189839033,22,40851899436997.74,31365454754978.164
2392886,0.39709087271060156,23,40559280968440.07,33540027227623.113
2377772,0.6691827896168386,24,39728461201526.19,28842070086596.586
2381478,0.751629275799747,25,36277052526794.84,25317565414959.902
2394434,2.8413744550142943,26,35909450265651.484,9219129344100.07
2381610,1.960221196532229,27,36050784194505.24,14109925072564.654
2388834,1.8340979214144195,28,35185185878410.79,14627895987309.428
2382811,1.19001157039094,29,35063116290645.2,19839562210971.605
2377815,0.5999065399520033,30,33395566745696.496,25061732341876.51
2385742,0.6794826735765431,31,33514747781007.93,24211407034886.434
2392927,1.0644047339371518,32,31861406995371.363,19144816786326.473
2388803,1.704347030047492,33,31690023509894.5,14018789679425.098
2391797,1.7542929193585057,34,31490524352222.887,13601526975955.01
2385775,0.7373960075489314,35,30956927436004.652,21752334656447.78
2385807,0.22665917180780273,36,30474020235169.254,27341572925868.246
2386738,0.5157069545788863,37,29306975008680.09,22897725485621.395
2379052,0.834018445317517,38,28417777016836.844,19065896194253.6
2395683,1.2670118838716071,39,28137732110265.312,15345031928588.217
2394249,1.0551613660577226,40,28080110115856.63,16947518120849.523
2390220,1.3593886806088267,41,28229740355704.758,14729467622261.088
2385837,1.71813073242095,42,27304227220120.508,11999225104848.506
2388889,1.347186891616982,43,27149766564918.56,14248926519328.457
2380222,0.8877769947981835,44,26908971593872.914,17595096724685.934
2380198,2.4257950650762647,45,26704465753596.79,8364390968263.051
2382927,0.7804022115268164,46,25744691823510.426,17721390913886.324
2384098,1.1980641069534872,47,25117239343445.68,14157283509029.045
2384074,0.8480730805285381,48,25136852635596.207,16751629769314.348
2381667,0.726301679917339,49,24378376156594.543,17221006052767.229
2388923,2.4669023446851304,50,23998622371043.215,7370441006875.711
2382896,1.6428155357645577,51,23620420304223.5,10761271382377.572
2394459,2.281783004094492,52,23422151204879.633,7859719270863.748
2395584,0.5506344623411548,53,23498798137410.8,18055439580015.21
2391831,0.6633514978027446,54,23329982455505.242,16984431128345.17
2390509,1.844307134377001,55,23021484164080.336,9524310957018.732
2384139,1.5971747797223748,56,23029092329482.88,10723541516748.344
2395662,1.7017220775705486,57,22465140421217.965,9950448046972.873
2390485,0.6207852837434472,58,21354217038270.152,15865973400505.004
2391879,1.0354076007780328,59,21036967783088.1,12817279045187.879
2391722,1.1112928246463305,60,28748044657593.055,16890787154682.496
2385900,0.990304284378897,61,19911504422169.543,12396255840240.246
2385933,0.5518368678047713,62,19368081272530.953,14873018575009.473
